sample,timestamp,sensor_id,q0,q1,q2,q3
0,131883725,1,0.999437980910030,-0.033413268730952,0.002693424258904,0.000145783940256
1,211884425,1,0.999418107432558,-0.034046370488625,0.002061520114577,0.000203291150921
2,311884925,1,0.999397979369301,-0.034662877642553,0.001446306475657,0.000268223179586
3,391885625,1,0.999377107216382,-0.035278815038651,0.000831729262014,0.000333178209804
4,471886025,1,0.999355556175852,-0.035892421487959,0.000218776387264,0.000398192261652
5,551887550,1,0.999333247844047,-0.036506029230975,-0.000393710740591,0.000463222526796
6,631886825,1,0.999309950954261,-0.037125741333700,-0.001010928219889,0.000528467926441
7,711887525,1,0.999285777516400,-0.037748106442228,-0.001631721201483,0.000593969183773
8,791887925,1,0.999260875484820,-0.038369261772844,-0.002251112430240,0.000659521906574
9,871888325,1,0.999235308723600,-0.038987878269923,-0.002869260485718,0.000714487456802
10,1071890350,1,0.999208694512799,-0.039613072790557,-0.003492362364540,0.000769856631750
11,1151889725,1,0.999181258659057,-0.040239058103585,-0.004116955520134,0.000825363365496
12,1231890125,1,0.999154089396866,-0.040841547523337,-0.004719183208729,0.000896073245749
13,1311890825,1,0.999127267950453,-0.041420874668347,-0.005296135224910,0.000982105520313
14,1391891225,1,0.999099880766427,-0.041997848931339,-0.005870933007221,0.001068214995993
15,1471891600,1,0.999072400817257,-0.042563482321601,-0.006430856509594,0.001154115442088
16,1581892150,1,0.999044447379132,-0.043125426409157,-0.006989422438710,0.001240053195267
17,1661892575,1,0.999016487471312,-0.043674714445564,-0.007536010622909,0.001336271855659
18,1741892975,1,0.998988081920883,-0.044221014600604,-0.008078462853165,0.001432649872699
19,1821893375,1,0.998959056467428,-0.044768414642670,-0.008618904049855,0.001518896002916
20,1901893775,1,0.998929253445748,-0.045318844335959,-0.009165479095619,0.001594663388464
21,1981894175,1,0.998899027711688,-0.045866002450755,-0.009708318048277,0.001670573705359
22,2061894575,1,0.998867804552838,-0.046419371388758,-0.010259728859108,0.001757541294944
23,2141894975,1,0.998836134399652,-0.046970149767154,-0.010806420144477,0.001844703790109
24,2241895475,1,0.998803949782117,-0.047519613397477,-0.011350958615193,0.001926650127256
25,2321895875,1,0.998771472117784,-0.048063774432958,-0.011891440448106,0.002003425816275
26,2401896275,1,0.998738517664388,-0.048605441929626,-0.012432106398051,0.002080163184790
27,2481896675,1,0.998705268190013,-0.049142729589597,-0.012966343835273,0.002157161455263
28,2561897075,1,0.998671666650677,-0.049676316699457,-0.013497176404697,0.002234282308593
29,2641897775,1,0.998636840528645,-0.050219349573445,-0.014040369731509,0.002312073785258
30,2721898175,1,0.998601246100107,-0.050765417658476,-0.014584594337864,0.002390243768640
31,2801898575,1,0.998565392859346,-0.051306041021907,-0.015125005492818,0.002465876550156
32,2911899125,1,0.998529927529231,-0.051832694360270,-0.015650489402280,0.002533338763968
33,2991899525,1,0.998494182590121,-0.052355105081104,-0.016172368562012,0.002600923052970
34,3071899950,1,0.998457411607916,-0.052884059223527,-0.016700082749954,0.002679686811461
