sample,timestamp_py,sensor_id_py,q0_py,q1_py,q2_py,q3_py,timestamp_c,sensor_id_c,q0_c,q1_c,q2_c,q3_c,quat_distance
0,131883725,1,0.99943798091003,-0.033413268730952,0.002693424258904,0.000145783940256,131883725,1,0.999437987804413,-0.033413399010897,0.002693292917684,0.000145779180457,-1.0889135371172642e-08
1,211884425,1,0.999418108488445,-0.034046337498451,0.002061552945015,0.000203292337566,211884425,1,0.999418079853058,-0.034046698361635,0.002060862258077,0.000203268049518,1.7761480619604697e-08
2,311884925,1,0.999397983106541,-0.034662760564275,0.001446528527396,0.000268230986287,311884925,1,0.999397933483124,-0.034663982689381,0.001444674097002,0.000268164905719,9.931523270445552e-09
3,391885625,1,0.999377122258893,-0.035278372550735,0.000832413234055,0.000333202511687,391885625,1,0.999377012252808,-0.035281240940094,0.000828484771773,0.000333061558194,1.206252553398457e-08
4,471886025,1,0.99935559666027,-0.035891283908929,0.000220365262267,0.00039824906353,471886025,1,0.999355316162109,-0.035898476839066,0.000212294849916,0.000397957948735,2.4048283142619198e-08
5,551887550,1,0.999333356768891,-0.036503082648006,-0.000390277845251,0.000463345892185,551887550,1,0.999332904815674,-0.036515679210424,-0.000403895246563,0.000462854048237,-1.3248108832186745e-08
6,631886825,1,0.999310164818776,-0.037120149171859,-0.001004739462489,0.000528690780877,631886825,1,0.999309480190277,-0.037138178944588,-0.001025410485454,0.000527942145709,-5.484830811752772e-09
7,711887525,1,0.9992861236827,-0.037739366114317,-0.001621737571804,0.000594329656844,711887525,1,0.999285042285919,-0.037765964865685,-0.001652250532061,0.000593222153839,2.7978989569632517e-08
8,791887925,1,0.999261424995616,-0.03835583714277,-0.002235748226708,0.000660077778922,791887925,1,0.999259889125824,-0.038393724709749,-0.002279089298099,0.000658501696307,-1.4333297437829629e-08
9,871888325,1,0.999236144587841,-0.038968093776494,-0.002846638740223,0.0007153073024,871888325,1,0.999233901500702,-0.039021428674459,-0.002906335052103,0.000713135639671,-5.365988986483217e-09
10,1071890350,1,0.999209936306683,-0.039584538387339,-0.003460206729516,0.000771022726183,1071890350,1,0.999206781387329,-0.039657078683376,-0.003541568061337,0.000768057594541,1.71179026509094e-09
11,1151889725,1,0.99918304524026,-0.040199205207057,-0.004072111167953,0.000826991994062,1151889725,1,0.99917870759964,-0.040295355021954,-0.004179461393505,0.000823075068183,3.5048037250184905e-08
12,1231890125,1,0.999156586256655,-0.040787350946176,-0.004658458307536,0.000898281102018,1231890125,1,0.999150812625885,-0.04091240093112,-0.004795395769179,0.000893288466614,3.4870922593910336e-08
13,1311890825,1,0.999130672933952,-0.041348728994487,-0.005216395299503,0.000985004146495,1311890825,1,0.999123156070709,-0.041508220136166,-0.005389371421188,0.000978697906248,1.9472480072835197e-08
14,1391891225,1,0.999104428226784,-0.041903743200417,-0.005767902909007,0.001071960567154,1391891225,1,0.999094724655151,-0.042104009538889,-0.005983343347907,0.001064106589183,6.875178881760036e-08
15,1471891600,1,0.999078363088756,-0.042442822286377,-0.006299860898143,0.001158877441121,1471891600,1,0.999066174030304,-0.042689137160778,-0.006566656753421,0.001149129704572,5.4045780073508354e-08
16,1581892150,1,0.999052118495536,-0.04297368543819,-0.006824531815797,0.001246055752119,1581892150,1,0.999036908149719,-0.043274234980345,-0.00714996503666,0.001234152121469,7.410994484757794e-08
17,1661892575,1,0.999026227206072,-0.04348612704076,-0.007331336696075,0.001343730495879,1661892575,1,0.9990074634552,-0.043848749250174,-0.007722151931375,0.001329431543127,1.3045963842550634e-07
18,1741892975,1,0.999000284762101,-0.043989476489568,-0.007828044019554,0.001441780233723,1741892975,1,0.998977363109589,-0.04442323371768,-0.008294333703816,0.001424710033461,1.9245930193978467e-07
19,1821893375,1,0.998974183663355,-0.044487016711319,-0.008315341947655,0.001529969462011,1821893375,1,0.998946309089661,-0.045002911239862,-0.00887231528759,0.001509538153186,2.95206488920563e-07
20,1901893775,1,0.998947866128892,-0.044979495639628,-0.008798856991407,0.001608056026337,1901893775,1,0.998914301395416,-0.045587781816721,-0.009456095285714,0.001583915669471,4.2488671725404714e-07
21,1981894175,1,0.998921711297966,-0.045460311705618,-0.009269849309039,0.001686609308162,1981894175,1,0.998881638050079,-0.046172618865967,-0.010039868764579,0.001658292254433,5.581273057053693e-07
22,2061894575,1,0.998895234234628,-0.045938010589591,-0.009739296961738,0.001776598184485,2061894575,1,0.998847663402557,-0.04676815494895,-0.010633802041411,0.001743693486787,7.297048948418094e-07
