py_sample,py_timestamp,py_sensor_id,py_q0,py_q1,py_q2,py_q3,mat_sample,mat_timestamp,mat_sensor_id,mat_q0,mat_q1,mat_q2,mat_q3,distance
2,311884925,1,0.999397979369301,-0.034662877642553,0.001446306475657,0.000268223179586,0,311884925,1,0.999429554243295,-0.033672274179513,0.002591288382322,0.000171117352753,1.151352650663462e-06
3,391885625,1,0.999377107216382,-0.035278815038651,0.000831729262014,0.000333178209804,1,391885625,1,0.999410679406069,-0.034266605687675,0.002009302837812,0.000237330678453,1.2107805689165474e-06
4,471886025,1,0.999355556175852,-0.035892421487959,0.000218776387264,0.000398192261652,2,471886025,1,0.999392573463713,-0.034817662884454,0.001456588947081,0.000304639921356,1.3487041536919264e-06
5,551887550,1,0.999333247844047,-0.036506029230975,-0.000393710740591,0.000463222526796,3,551887550,1,0.999374284873554,-0.035356189652036,0.000916462120377,0.000372402932068,1.5243081092908284e-06
6,631886825,1,0.999309950954261,-0.0371257413337,-0.001010928219889,0.000528467926441,4,631886825,1,0.999355183333254,-0.035900972258281,0.00037890592289,0.000440642905829,1.7207287175136088e-06
7,711887525,1,0.9992857775164,-0.037748106442228,-0.001631721201483,0.000593969183773,5,711887525,1,0.999335271206997,-0.036451773220355,-0.00015652813601,0.000509362025451,1.9331411988954272e-06
8,791887925,1,0.99926087548482,-0.038369261772844,-0.00225111243024,0.000659521906574,6,791887925,1,0.999315198911307,-0.036991004958397,-0.000681267665294,0.000578490614935,2.1867607681302914e-06
9,871888325,1,0.9992353087236,-0.038987878269923,-0.002869260485718,0.000714487456802,7,871888325,1,0.999295248722487,-0.037512243472056,-0.001196354595098,0.000637342953018,2.4928281265879093e-06
10,1071890350,1,0.999208694512799,-0.039613072790557,-0.00349236236454,0.00076985663175,8,1071890350,1,0.999274888904257,-0.038030365396873,-0.001703460641878,0.000697090386951,2.857404344913661e-06
11,1151889725,1,0.999181258659057,-0.040239058103585,-0.004116955520134,0.000825363365496,9,1151889725,1,0.999254284324357,-0.038541540317339,-0.002202580101644,0.000757344228543,3.2781796132086427e-06
12,1231890125,1,0.999154089396866,-0.040841547523337,-0.004719183208729,0.000896073245749,10,1231890125,1,0.999234392724849,-0.039022647971998,-0.002677248597654,0.000832875141761,3.7441675789784412e-06
13,1311890825,1,0.999127267950453,-0.041420874668347,-0.00529613522491,0.000982105520313,11,1311890825,1,0.999215246348026,-0.039474723772728,-0.003128021345259,0.000923651007928,4.249689115387589e-06
14,1391891225,1,0.999099880766427,-0.041997848931339,-0.005870933007221,0.001068214995993,12,1391891225,1,0.99919597097703,-0.039920187540544,-0.003572206344778,0.001014668334484,4.8064608476616755e-06
