sample,timestamp,sensor_id,q0,q1,q2,q3
0,311884925,1,0.999429554243295,-0.033672274179513,0.002591288382322,0.000171117352753
1,391885625,1,0.999410679406069,-0.034266605687675,0.002009302837812,0.000237330678453
2,471886025,1,0.999392573463713,-0.034817662884454,0.001456588947081,0.000304639921356
3,551887550,1,0.999374284873554,-0.035356189652036,0.000916462120377,0.000372402932068
4,631886825,1,0.999355183333254,-0.035900972258281,0.000378905922890,0.000440642905829
5,711887525,1,0.999335271206997,-0.036451773220355,-0.000156528136010,0.000509362025451
6,791887925,1,0.999315198911307,-0.036991004958397,-0.000681267665294,0.000578490614935
7,871888325,1,0.999295248722487,-0.037512243472056,-0.001196354595098,0.000637342953018
8,1071890350,1,0.999274888904257,-0.038030365396873,-0.001703460641878,0.000697090386951
9,1151889725,1,0.999254284324357,-0.038541540317339,-0.002202580101644,0.000757344228543
10,1231890125,1,0.999234392724849,-0.039022647971998,-0.002677248597654,0.000832875141761
11,1311890825,1,0.999215246348026,-0.039474723772728,-0.003128021345259,0.000923651007928
12,1391891225,1,0.999195970977030,-0.039920187540544,-0.003572206344778,0.001014668334484
13,1471891600,1,0.999176768859506,-0.040356228121113,-0.003992043273650,0.001105899550032
14,1581892150,1,0.999157462040732,-0.040786174346094,-0.004406860915259,0.001197333456416
15,1661892575,1,0.999138417701186,-0.041201550072964,-0.004813253656353,0.001298897376346
16,1741892975,1,0.999119265300098,-0.041611757290995,-0.005214741877296,0.001400652884167
17,1821893375,1,0.999099895267060,-0.042020302141973,-0.005609453116054,0.001492488185925
18,1901893775,1,0.999080300881777,-0.042427529915056,-0.005998200518481,0.001574384268339
19,1981894175,1,0.999060587445737,-0.042830461277137,-0.006383607608657,0.001656427863105
20,2061894575,1,0.999040318404271,-0.043236656925595,-0.006780363702142,0.001749390938972
21,2141894975,1,0.999019912740410,-0.043638991788016,-0.007173388904950,0.001842507934274
22,2241895475,1,0.998999252171351,-0.044040291380126,-0.007564414287614,0.001930422938336
23,2321895875,1,0.998978343365836,-0.044440504885994,-0.007953508429640,0.002013135660662
24,2401896275,1,0.998957269315829,-0.044837506497176,-0.008341424179521,0.002095885215406
25,2481896675,1,0.998935947617026,-0.045232485114211,-0.008732072660133,0.002178475596787
26,2561897075,1,0.998914491062094,-0.045624144694792,-0.009119427135454,0.002261197856859
27,2641897775,1,0.998892164073060,-0.046025128304634,-0.009520256441592,0.002344533059378
28,2721898175,1,0.998869425586592,-0.046427347131154,-0.009923515355047,0.002428149433696
29,2801898575,1,0.998846548983724,-0.046826176233545,-0.010323986357112,0.002509204724299
30,2911899125,1,0.998824206145419,-0.047210397861268,-0.010710590590307,0.002582014903510
31,2991899525,1,0.998801701041571,-0.047592214953314,-0.011094796605135,0.002654912539495
32,3071899950,1,0.998778383531207,-0.047982236775556,-0.011486679546584,0.002738930046100
33,3151900325,1,0.998754895861872,-0.048369866405514,-0.011876215614359,0.002823033569716
34,3231900725,1,0.998731150046327,-0.048756781082177,-0.012265628427060,0.002901824414789
