sample,timestamp,sensor_id,q0,q1,q2,q3
0,131883725,1,0.999999754030690,-0.000515169892600,-0.000475355765664,0.000023988265317
1,211884425,1,0.999998689753136,-0.001182055301728,-0.001104442767050,0.000058680911133
2,311884925,1,0.999996815756734,-0.001849296366046,-0.001714143616267,0.000101444591618
3,391885625,1,0.999994096032910,-0.002530777566901,-0.002319964358304,0.000144324658202
4,471886025,1,0.999990541547360,-0.003219856995042,-0.002917916640202,0.000187347884811
5,551887550,1,0.999986099611309,-0.003925340551709,-0.003512709701573,0.000230556430564
6,631886825,1,0.999980683209100,-0.004655369369481,-0.004109217279686,0.000274003727438
7,711887525,1,0.999974327883018,-0.005396915962021,-0.004702758855537,0.000317698208924
8,791887925,1,0.999967033818299,-0.006149957191604,-0.005289469468315,0.000361684832706
9,871888325,1,0.999958825480388,-0.006910392213124,-0.005868350497985,0.000395329958647
10,1071890350,1,0.999949603352234,-0.007687990713007,-0.006442141710622,0.000429377091445
11,1151889725,1,0.999939369071948,-0.008477186304587,-0.007012872200228,0.000463805836933
12,1231890125,1,0.999928503703260,-0.009250753783662,-0.007559516932899,0.000514528847716
13,1311890825,1,0.999917151074695,-0.010011079965937,-0.008070372459059,0.000581681143852
14,1391891225,1,0.999904973636181,-0.010777037392891,-0.008571906868427,0.000649288302478
15,1471891600,1,0.999892199170437,-0.011543772661929,-0.009045249839493,0.000717499949266
16,1581892150,1,0.999878663837226,-0.012310461512305,-0.009512734931886,0.000786139016202
17,1661892575,1,0.999864494371796,-0.013074142552328,-0.009965436853973,0.000865886519096
18,1741892975,1,0.999849696726562,-0.013838218741988,-0.010401552362011,0.000946237978465
19,1821893375,1,0.999834369752631,-0.014604818511290,-0.010811960826162,0.001016779575161
20,1901893775,1,0.999818067413143,-0.015380699277190,-0.011229689156162,0.001077146902349
21,1981894175,1,0.999801159987247,-0.016156051582283,-0.011633014545995,0.001138181882937
22,2061894575,1,0.999783334037760,-0.016935908223689,-0.012041384268412,0.001210395753260
