sample_idx,timestamp,sensor_id,sensor_data,q0,q1,q2,q3
10,131883725,1,[-60;-60;3],0.9994379878044128,-0.0334133990108967,0.0026932929176837,0.0001457791804569
22,211884425,1,[-58;-58;4],0.9994180798530579,-0.0340466983616352,0.0020608622580767,0.0002032680495176
34,311884925,1,[-58;-58;4],0.9993979334831238,-0.0346639826893806,0.0014446740970016,0.0002681649057195
46,391885625,1,[-58;-58;4],0.9993770122528076,-0.0352812409400940,0.0008284847717732,0.0003330615581945
58,471886025,1,[-58;-58;4],0.9993553161621094,-0.0358984768390656,0.0002122948499164,0.0003979579487350
70,551887550,1,[-58;-58;4],0.9993329048156738,-0.0365156792104244,-0.0004038952465635,0.0004628540482372
82,631886825,1,[-59;-59;4],0.9993094801902771,-0.0371381789445877,-0.0010254104854539,0.0005279421457089
94,711887525,1,[-59;-59;4],0.9992850422859192,-0.0377659648656845,-0.0016522505320609,0.0005932221538387
106,791887925,1,[-59;-59;4],0.9992598891258240,-0.0383937247097492,-0.0022790892980993,0.0006585016963072
118,871888325,1,[-59;-59;3],0.9992339015007019,-0.0390214286744595,-0.0029063350521028,0.0007131356396712
130,1071890350,1,[-60;-60;3],0.9992067813873291,-0.0396570786833763,-0.0035415680613369,0.0007680575945415
142,1151889725,1,[-60;-60;3],0.9991787075996399,-0.0402953550219536,-0.0041794613935053,0.0008230750681832
154,1231890125,1,[-56;-56;6],0.9991508126258850,-0.0409124009311199,-0.0047953957691789,0.0008932884666137
166,1311890825,1,[-56;-56;6],0.9991231560707092,-0.0415082201361656,-0.0053893714211881,0.0009786979062483
178,1391891225,1,[-56;-56;6],0.9990947246551514,-0.0421040095388889,-0.0059833433479071,0.0010641065891832
190,1471891600,1,[-55;-55;6],0.9990661740303040,-0.0426891371607780,-0.0065666567534208,0.0011491297045723
202,1581892150,1,[-55;-55;6],0.9990369081497192,-0.0432742349803448,-0.0071499650366604,0.0012341521214694
214,1661892575,1,[-54;-54;7],0.9990074634552002,-0.0438487492501736,-0.0077221519313753,0.0013294315431267
226,1741892975,1,[-54;-54;7],0.9989773631095886,-0.0444232337176800,-0.0082943337038159,0.0014247100334615
238,1821893375,1,[-55;-55;5],0.9989463090896606,-0.0450029112398624,-0.0088723152875900,0.0015095381531864
250,1901893775,1,[-55;-55;5],0.9989143013954163,-0.0455877818167210,-0.0094560952857137,0.0015839156694710
262,1981894175,1,[-55;-55;5],0.9988816380500793,-0.0461726188659668,-0.0100398687645793,0.0016582922544330
274,2061894575,1,[-56;-56;6],0.9988476634025574,-0.0467681549489498,-0.0106338020414114,0.0017436934867874
286,2141894975,1,[-56;-56;6],0.9988129138946533,-0.0473636537790298,-0.0112277278676629,0.0018290935549885
298,2241895475,1,[-56;-56;5],0.9987775087356567,-0.0479590632021427,-0.0118218995630741,0.0019091722788289
310,2321895875,1,[-56;-56;5],0.9987413883209229,-0.0485543720424175,-0.0124163171276450,0.0019839294254780
322,2401896275,1,[-56;-56;5],0.9987045526504517,-0.0491496473550797,-0.0130107253789902,0.0020586852915585
334,2481896675,1,[-56;-56;5],0.9986670017242432,-0.0497448891401291,-0.0136051243171096,0.0021334397606552
346,2561897075,1,[-56;-56;5],0.9986287355422974,-0.0503400936722755,-0.0141995139420033,0.0022081925999373
358,2641897775,1,[-58;-58;5],0.9985887408256531,-0.0509511828422546,-0.0148098850622773,0.0022835212294012
370,2721898175,1,[-58;-58;5],0.9985475540161133,-0.0515675432980061,-0.0154255768284202,0.0023590407799929
382,2801898575,1,[-58;-58;4],0.9985057115554810,-0.0521838180720806,-0.0160413943231106,0.0024318990763277
394,2911899125,1,[-57;-57;4],0.9984638094902039,-0.0527893193066120,-0.0166469532996416,0.0024963929317892
406,2991899525,1,[-57;-57;4],0.9984211325645447,-0.0533947795629501,-0.0172525011003017,0.0025608846917748
418,3071899950,1,[-58;-58;5],0.9983769655227661,-0.0540109910070896,-0.0178681295365095,0.0026363956276327
430,3151900325,1,[-58;-58;5],0.9983320236206055,-0.0546271614730358,-0.0184837430715561,0.0027119047008455
442,3231900725,1,[-58;-58;4],0.9982863664627075,-0.0552431941032410,-0.0190996360033751,0.0027820942923427
454,3311901125,1,[-58;-58;4],0.9982399344444275,-0.0558590814471245,-0.0197158064693213,0.0028469641692936
466,3391901525,1,[-58;-58;4],0.9981927275657654,-0.0564749240875244,-0.0203319638967514,0.0029118319507688
478,3491902025,1,[-59;-59;4],0.9981439113616943,-0.0571013279259205,-0.0209587682038546,0.0029770822729915
490,3571902425,1,[-59;-59;4],0.9980943202972412,-0.0577276833355427,-0.0215855557471514,0.0030423304997385
502,3651902825,1,[-59;-59;3],0.9980440139770508,-0.0583538226783276,-0.0222127903252840,0.0030996017158031
514,3821905350,1,[-60;-60;2],0.9979926347732544,-0.0589824467897415,-0.0228429827839136,0.0031516507733613
526,3901904075,1,[-60;-60;2],0.9979398846626282,-0.0596187897026539,-0.0234816260635853,0.0031960122287273
538,3981904475,1,[-60;-60;2],0.9978863000869751,-0.0602550841867924,-0.0241202507168055,0.0032403711229563
550,4061919900,1,[-55;-55;6],0.9978352189064026,-0.0608523748815060,-0.0247169323265553,0.0033151747193187
562,4161906175,1,[-55;-55;6],0.9977844953536987,-0.0614366345107555,-0.0252996217459440,0.0034001253079623
574,4241906575,1,[-54;-54;7],0.9977335929870605,-0.0620156936347485,-0.0258766319602728,0.0034901956096292
586,4321906975,1,[-54;-54;7],0.9976823925971985,-0.0625895485281944,-0.0264479629695415,0.0035853853914887
598,4401907375,1,[-54;-54;7],0.9976305961608887,-0.0631633698940277,-0.0270192753523588,0.0036805730778724
610,4481907775,1,[-55;-55;6],0.9975771903991699,-0.0637474432587624,-0.0276019107550383,0.0037655155174434
622,4561908175,1,[-55;-55;6],0.9975230693817139,-0.0643314719200134,-0.0281845256686211,0.0038504551630467
634,4641908575,1,[-56;-56;6],0.9974677562713623,-0.0649207457900047,-0.0287724565714598,0.0039355847984552
646,4721908975,1,[-56;-56;6],0.9974112510681152,-0.0655152723193169,-0.0293656997382641,0.0040209041908383
658,4821909475,1,[-56;-56;5],0.9973540902137756,-0.0661096721887589,-0.0299590975046158,0.0041035646572709
670,4901909875,1,[-56;-56;5],0.9972961544990540,-0.0667037814855576,-0.0305530019104481,0.0041782530024648
682,4981910275,1,[-56;-56;5],0.9972375631332397,-0.0672978460788727,-0.0311468839645386,0.0042529390193522
694,5061910675,1,[-56;-56;6],0.9971782565116882,-0.0678921118378639,-0.0317402034997940,0.0043355892412364
706,5141911375,1,[-56;-56;6],0.9971181750297546,-0.0684864148497581,-0.0323333218693733,0.0044208918698132
718,5221911750,1,[-57;-57;5],0.9970571398735046,-0.0690832212567329,-0.0329292714595795,0.0045036324299872
730,5301912175,1,[-57;-57;5],0.9969945549964905,-0.0696876496076584,-0.0335337445139885,0.0045786923728883
742,5381912550,1,[-57;-57;5],0.9969312548637390,-0.0702920183539391,-0.0341381952166557,0.0046537485904992
754,5481913075,1,[-58;-58;4],0.9968661665916443,-0.0709065496921539,-0.0347540378570557,0.0047185663133860
