timestamp,q0,q1,q2,q3,roll,pitch,yaw
1471891600,0.99908769,-0.04225029,-0.00612917,0.00108536,-4.844,-0.696,0.154
1491891725,0.99908769,-0.04225029,-0.00612917,0.00108536,-4.844,-0.696,0.154
1511891825,0.99905890,-0.04283541,-0.00671249,0.00117039,-4.911,-0.763,0.167
1531891925,0.99905890,-0.04283541,-0.00671249,0.00117039,-4.911,-0.763,0.167
1581892150,0.99905890,-0.04283541,-0.00671249,0.00117039,-4.911,-0.763,0.167
1601892275,0.99905890,-0.04283541,-0.00671249,0.00117039,-4.911,-0.763,0.167
1621892375,0.99902958,-0.04341786,-0.00729302,0.00125797,-4.978,-0.829,0.180
1641892475,0.99902958,-0.04341786,-0.00729302,0.00125797,-4.978,-0.829,0.180
1661892575,0.99902958,-0.04341786,-0.00729302,0.00125797,-4.978,-0.829,0.180
1681892675,0.99902958,-0.04341786,-0.00729302,0.00125797,-4.978,-0.829,0.180
1701892775,0.99900001,-0.04399237,-0.00786520,0.00135325,-5.044,-0.894,0.195
1721892875,0.99900001,-0.04399237,-0.00786520,0.00135325,-5.044,-0.894,0.195
1741892975,0.99900001,-0.04399237,-0.00786520,0.00135325,-5.044,-0.894,0.195
1761893075,0.99900001,-0.04399237,-0.00786520,0.00135325,-5.044,-0.894,0.195
1781893175,0.99896973,-0.04456685,-0.00843738,0.00144853,-5.111,-0.959,0.209
1801893275,0.99896973,-0.04456685,-0.00843738,0.00144853,-5.111,-0.959,0.209
1821893375,0.99896973,-0.04456685,-0.00843738,0.00144853,-5.111,-0.959,0.209
1841893475,0.99896973,-0.04456685,-0.00843738,0.00144853,-5.111,-0.959,0.209
1861893575,0.99893838,-0.04514913,-0.00901826,0.00152813,-5.178,-1.024,0.222
1881893675,0.99893838,-0.04514913,-0.00901826,0.00152813,-5.178,-1.024,0.222
1901893775,0.99893838,-0.04514913,-0.00901826,0.00152813,-5.178,-1.024,0.222
1921893875,0.99893838,-0.04514913,-0.00901826,0.00152813,-5.178,-1.024,0.222
1941893975,0.99890620,-0.04573399,-0.00960204,0.00160251,-5.245,-1.091,0.234
1961894075,0.99890620,-0.04573399,-0.00960204,0.00160251,-5.245,-1.091,0.234
1981894175,0.99890620,-0.04573399,-0.00960204,0.00160251,-5.245,-1.091,0.234
2001894275,0.99890620,-0.04573399,-0.00960204,0.00160251,-5.245,-1.091,0.234
2021894375,0.99887323,-0.04632150,-0.01018836,0.00167964,-5.313,-1.157,0.246
2041894475,0.99887323,-0.04632150,-0.01018836,0.00167964,-5.313,-1.157,0.246
2061894575,0.99887323,-0.04632150,-0.01018836,0.00167964,-5.313,-1.157,0.246
2081894675,0.99887323,-0.04632150,-0.01018836,0.00167964,-5.313,-1.157,0.246
2101894775,0.99883902,-0.04691702,-0.01078229,0.00176504,-5.381,-1.225,0.260
2121894875,0.99883902,-0.04691702,-0.01078229,0.00176504,-5.381,-1.225,0.260
2141894975,0.99883902,-0.04691702,-0.01078229,0.00176504,-5.381,-1.225,0.260
2161895075,0.99883902,-0.04691702,-0.01078229,0.00176504,-5.381,-1.225,0.260
2181895175,0.99880415,-0.04751252,-0.01137621,0.00185044,-5.450,-1.292,0.274
2221895375,0.99880415,-0.04751252,-0.01137621,0.00185044,-5.450,-1.292,0.274
2241895475,0.99880415,-0.04751252,-0.01137621,0.00185044,-5.450,-1.292,0.274
2261895575,0.99880415,-0.04751252,-0.01137621,0.00185044,-5.450,-1.292,0.274
2281895675,0.99876857,-0.04810789,-0.01197051,0.00192786,-5.519,-1.360,0.287
2301895775,0.99876857,-0.04810789,-0.01197051,0.00192786,-5.519,-1.360,0.287
2321895875,0.99876857,-0.04810789,-0.01197051,0.00192786,-5.519,-1.360,0.287
2341895975,0.99876857,-0.04810789,-0.01197051,0.00192786,-5.519,-1.360,0.287
2361896075,0.99873227,-0.04870319,-0.01256492,0.00200262,-5.587,-1.427,0.299
2381896175,0.99873227,-0.04870319,-0.01256492,0.00200262,-5.587,-1.427,0.299
2401896275,0.99873227,-0.04870319,-0.01256492,0.00200262,-5.587,-1.427,0.299
2421896375,0.99873227,-0.04870319,-0.01256492,0.00200262,-5.587,-1.427,0.299
2441896475,0.99869525,-0.04929846,-0.01315933,0.00207737,-5.656,-1.494,0.312
2461896575,0.99869525,-0.04929846,-0.01315933,0.00207737,-5.656,-1.494,0.312
2481896675,0.99869525,-0.04929846,-0.01315933,0.00207737,-5.656,-1.494,0.312
2501896775,0.99869525,-0.04929846,-0.01315933,0.00207737,-5.656,-1.494,0.312
2521896875,0.99865752,-0.04989369,-0.01375373,0.00215213,-5.725,-1.562,0.325
2541896975,0.99865752,-0.04989369,-0.01375373,0.00215213,-5.725,-1.562,0.325
2561897075,0.99865752,-0.04989369,-0.01375373,0.00215213,-5.725,-1.562,0.325
2581897475,0.99865752,-0.04989369,-0.01375373,0.00215213,-5.725,-1.562,0.325
2601897575,0.99861908,-0.05048889,-0.01434811,0.00222688,-5.793,-1.629,0.338
2621897675,0.99861908,-0.05048889,-0.01434811,0.00222688,-5.793,-1.629,0.338
2641897775,0.99861908,-0.05048889,-0.01434811,0.00222688,-5.793,-1.629,0.338
2661897875,0.99861908,-0.05048889,-0.01434811,0.00222688,-5.793,-1.629,0.338
2681897975,0.99857849,-0.05110527,-0.01496381,0.00230240,-5.865,-1.699,0.351
2701898075,0.99857849,-0.05110527,-0.01496381,0.00230240,-5.865,-1.699,0.351
2721898175,0.99857849,-0.05110527,-0.01496381,0.00230240,-5.865,-1.699,0.351
2741898275,0.99857849,-0.05110527,-0.01496381,0.00230240,-5.865,-1.699,0.351
2761898375,0.99853718,-0.05172162,-0.01557950,0.00237792,-5.936,-1.769,0.365
2781898475,0.99853718,-0.05172162,-0.01557950,0.00237792,-5.936,-1.769,0.365
2801898575,0.99853718,-0.05172162,-0.01557950,0.00237792,-5.936,-1.769,0.365
2851898825,0.99853718,-0.05172162,-0.01557950,0.00237792,-5.936,-1.769,0.365
2871898900,0.99849528,-0.05233520,-0.01619279,0.00244802,-6.007,-1.838,0.377
2891899025,0.99849528,-0.05233520,-0.01619279,0.00244802,-6.007,-1.838,0.377
2911899125,0.99849528,-0.05233520,-0.01619279,0.00244802,-6.007,-1.838,0.377
2931899225,0.99849528,-0.05233520,-0.01619279,0.00244802,-6.007,-1.838,0.377
2951899325,0.99845320,-0.05294069,-0.01679835,0.00251252,-6.077,-1.907,0.390
2971899425,0.99845320,-0.05294069,-0.01679835,0.00251252,-6.077,-1.907,0.390
2991899525,0.99845320,-0.05294069,-0.01679835,0.00251252,-6.077,-1.907,0.390
3011899625,0.99845320,-0.05294069,-0.01679835,0.00251252,-6.077,-1.907,0.390
3031899725,0.99841017,-0.05354883,-0.01740642,0.00257976,-6.147,-1.976,0.402
3051899825,0.99841017,-0.05354883,-0.01740642,0.00257976,-6.147,-1.976,0.402
3071899950,0.99841017,-0.05354883,-0.01740642,0.00257976,-6.147,-1.976,0.402
3091900025,0.99841017,-0.05354883,-0.01740642,0.00257976,-6.147,-1.976,0.402
3111900125,0.99836582,-0.05416503,-0.01802204,0.00265527,-6.218,-2.046,0.416
3131900225,0.99836582,-0.05416503,-0.01802204,0.00265527,-6.218,-2.046,0.416
3151900325,0.99836582,-0.05416503,-0.01802204,0.00265527,-6.218,-2.046,0.416
3171900425,0.99836582,-0.05416503,-0.01802204,0.00265527,-6.218,-2.046,0.416
3191900525,0.99832070,-0.05478119,-0.01863765,0.00273078,-6.290,-2.115,0.430
3211900625,0.99832070,-0.05478119,-0.01863765,0.00273078,-6.290,-2.115,0.430
3231900725,0.99832070,-0.05478119,-0.01863765,0.00273078,-6.290,-2.115,0.430
3251900825,0.99832070,-0.05478119,-0.01863765,0.00273078,-6.290,-2.115,0.430
3271900900,0.99827480,-0.05539716,-0.01925368,0.00279831,-6.361,-2.185,0.443
3291901000,0.99827480,-0.05539716,-0.01925368,0.00279831,-6.361,-2.185,0.443
3311901125,0.99827480,-0.05539716,-0.01925368,0.00279831,-6.361,-2.185,0.443
3331901225,0.99827480,-0.05539716,-0.01925368,0.00279831,-6.361,-2.185,0.443
3351901325,0.99822819,-0.05601304,-0.01986985,0.00286318,-6.432,-2.255,0.455
3371901425,0.99822819,-0.05601304,-0.01986985,0.00286318,-6.432,-2.255,0.455
3391901525,0.99822819,-0.05601304,-0.01986985,0.00286318,-6.432,-2.255,0.455
3411901625,0.99822819,-0.05601304,-0.01986985,0.00286318,-6.432,-2.255,0.455
3431901725,0.99818063,-0.05663152,-0.02048867,0.00292814,-6.504,-2.325,0.468
3451901825,0.99818063,-0.05663152,-0.02048867,0.00292814,-6.504,-2.325,0.468
3491902025,0.99818063,-0.05663152,-0.02048867,0.00292814,-6.504,-2.325,0.468
3511902125,0.99818063,-0.05663152,-0.02048867,0.00292814,-6.504,-2.325,0.468
3531902225,0.99813163,-0.05725792,-0.02111547,0.00299339,-6.576,-2.396,0.481
