sample,timestamp,sensor_id,q0,q1,q2,q3
0,131883725,1,0.999437980910030,-0.033413268730952,0.002693424258904,0.000145783940256
1,211884425,1,0.999418108488445,-0.034046337498451,0.002061552945015,0.000203292337566
2,311884925,1,0.999397983106541,-0.034662760564275,0.001446528527396,0.000268230986287
3,391885625,1,0.999377122258893,-0.035278372550735,0.000832413234055,0.000333202511687
4,471886025,1,0.999355596660270,-0.035891283908929,0.000220365262267,0.000398249063530
5,551887550,1,0.999333356768891,-0.036503082648006,-0.000390277845251,0.000463345892185
6,631886825,1,0.999310164818776,-0.037120149171859,-0.001004739462489,0.000528690780877
7,711887525,1,0.999286123682700,-0.037739366114317,-0.001621737571804,0.000594329656844
8,791887925,1,0.999261424995616,-0.038355837142770,-0.002235748226708,0.000660077778922
9,871888325,1,0.999236144587841,-0.038968093776494,-0.002846638740223,0.000715307302400
10,1071890350,1,0.999209936306683,-0.039584538387339,-0.003460206729516,0.000771022726183
11,1151889725,1,0.999183045240260,-0.040199205207057,-0.004072111167953,0.000826991994062
12,1231890125,1,0.999156586256655,-0.040787350946176,-0.004658458307536,0.000898281102018
13,1311890825,1,0.999130672933952,-0.041348728994487,-0.005216395299503,0.000985004146495
14,1391891225,1,0.999104428226784,-0.041903743200417,-0.005767902909007,0.001071960567154
15,1471891600,1,0.999078363088756,-0.042442822286377,-0.006299860898143,0.001158877441121
16,1581892150,1,0.999052118495536,-0.042973685438190,-0.006824531815797,0.001246055752119
17,1661892575,1,0.999026227206072,-0.043486127040760,-0.007331336696075,0.001343730495879
18,1741892975,1,0.999000284762101,-0.043989476489568,-0.007828044019554,0.001441780233723
19,1821893375,1,0.998974183663355,-0.044487016711319,-0.008315341947655,0.001529969462011
20,1901893775,1,0.998947866128892,-0.044979495639628,-0.008798856991407,0.001608056026337
21,1981894175,1,0.998921711297966,-0.045460311705618,-0.009269849309039,0.001686609308162
22,2061894575,1,0.998895234234628,-0.045938010589591,-0.009739296961738,0.001776598184485
23,2141894975,1,0.998869068204321,-0.046402439460648,-0.010193720401775,0.001867153208188
24,2241895475,1,0.998843213508382,-0.046854436463244,-0.010634032960436,0.001952934959891
25,2321895875,1,0.998817926057808,-0.047289910114482,-0.011057928956545,0.002034009374690
26,2401896275,1,0.998793166736727,-0.047709687721180,-0.011468225342468,0.002115557860649
27,2481896675,1,0.998769152847849,-0.048111474837560,-0.011858954689912,0.002197840350688
28,2561897075,1,0.998745964773302,-0.048494456439521,-0.012230426888802,0.002280833575338
29,2641897775,1,0.998722862662626,-0.048870734476820,-0.012597663825169,0.002365115814148
30,2721898175,1,0.998700456277708,-0.049231479375095,-0.012948186898498,0.002450413287290
31,2801898575,1,0.998679303692922,-0.049567982407326,-0.013275651305605,0.002533885928821
32,2911899125,1,0.998660169538226,-0.049869566748737,-0.013567621511076,0.002609930402789
33,2991899525,1,0.998642522988059,-0.050145001802006,-0.013833673714241,0.002686921265887
34,3071899950,1,0.998625801982409,-0.050403353809706,-0.014082031097099,0.002775957475432
35,3151900325,1,0.998610857514113,-0.050632240067414,-0.014300949077336,0.002866073301716
36,3231900725,1,0.998597694542806,-0.050832272620996,-0.014491748095117,0.002951906354369
37,3311901125,1,0.998586671613564,-0.050998607642779,-0.014649171534363,0.003033655814297
38,3391901525,1,0.998577873701299,-0.051130258758455,-0.014772039329339,0.003116672510720
39,3491902025,1,0.998571471971653,-0.051223061796727,-0.014864861968197,0.003201434553671
40,3571902425,1,0.998567496762940,-0.051279172579497,-0.014919531728427,0.003287619376225
41,3651902825,1,0.998565904062421,-0.051302836440531,-0.014926888300113,0.003367821674494
42,3821905350,1,0.998567699051731,-0.051272660402465,-0.014893016766827,0.003444235382334
43,3901904075,1,0.998572066395921,-0.051204199702598,-0.014819057015704,0.003514782463059
44,3981904475,1,0.998579835946399,-0.051083761467408,-0.014693274296066,0.003587233762244
45,4061919900,1,0.998592736788803,-0.050889123164836,-0.014463961786896,0.003692828941236
46,4161906175,1,0.998610240214874,-0.050620907156049,-0.014163005263813,0.003810666423123
47,4241906575,1,0.998632266003192,-0.050275334437959,-0.013802202201761,0.003935385478314
48,4321906975,1,0.998658064995559,-0.049867068509014,-0.013371554284123,0.004067706192696
49,4401907375,1,0.998687162898872,-0.049399940766978,-0.012881683723811,0.004202230081871
50,4481907775,1,0.998718728639645,-0.048886030683474,-0.012341730572985,0.004328828350733
51,4561908175,1,0.998752955799744,-0.048318225687112,-0.011747922750044,0.004457427372651
52,4641908575,1,0.998788527252642,-0.047711827809518,-0.011136419385239,0.004586881168027
53,4721908975,1,0.998825857535294,-0.047061870734498,-0.010479641352602,0.004718448788976
54,4821909475,1,0.998865593446164,-0.046355185586082,-0.009757132755204,0.004849882382011
55,4901909875,1,0.998906471649444,-0.045608351842339,-0.008999572296627,0.004974619338406
56,4981910275,1,0.998948316750787,-0.044821344468249,-0.008203007672038,0.005100804442466
57,5061910675,1,0.998990568549710,-0.043999337039046,-0.007381612082015,0.005235846820047
58,5141911375,1,0.999033077806600,-0.043144077773479,-0.006527619349344,0.005374773202554
59,5221911750,1,0.999074885029580,-0.042275349243516,-0.005637380060132,0.005512612405055
60,5301912175,1,0.999115989107517,-0.041388201417968,-0.004733666498438,0.005643535644825
61,5381912550,1,0.999156322805681,-0.040481913775447,-0.003808394953891,0.005775238729385
62,5481913075,1,0.999195285315545,-0.039568834541408,-0.002883280963793,0.005897103280833
63,5561913475,1,0.999233025217424,-0.038643877007313,-0.001943646670011,0.006019495186606
64,5641913875,1,0.999269314892028,-0.037709940176585,-0.001003984081163,0.006147254920724
65,5721914275,1,0.999303981284522,-0.036770969713489,-0.000058471900044,0.006280553818778
66,5801914675,1,0.999336906418432,-0.035830487075595,0.000886634776616,0.006413855684107
67,5881915050,1,0.999368394330965,-0.034881554625386,0.001833470767179,0.006536661549421
68,5961915475,1,0.999397884614962,-0.033938714950369,0.002772506211711,0.006659208959302
69,6071916025,1,0.999425243246058,-0.033006632786294,0.003708908672836,0.006781544892161
70,6151916425,1,0.999450581562549,-0.032084628394893,0.004631911030669,0.006903407509908
71,6231916825,1,0.999473880524078,-0.031176851144151,0.005533404074425,0.007024780582064
72,6311917225,1,0.999494917932810,-0.030294726082241,0.006409073804242,0.007145793941789
73,6481920500,1,0.999513817969765,-0.029438915382353,0.007260915515887,0.007263405157743
74,6561918475,1,0.999530695319378,-0.028613904500634,0.008079657869230,0.007372429199748
75,6641918875,1,0.999545792839960,-0.027802550612274,0.008890723760794,0.007495413690881
76,6741919375,1,0.999559310593405,-0.026999569650345,0.009692968001766,0.007632444958840
77,6821919775,1,0.999571410909794,-0.026215126149043,0.010460113155730,0.007768377279918
78,6901920175,1,0.999581861459177,-0.025460393728510,0.011199036623868,0.007902668643757
79,6981920575,1,0.999590758133071,-0.024742185955139,0.011898313062450,0.008035585565523
80,7061920975,1,0.999598068453163,-0.024069146559633,0.012556683111834,0.008167462141115
81,7141921375,1,0.999604085819515,-0.023439555310175,0.013168290566198,0.008297890295533
82,7221921775,1,0.999608884161933,-0.022857509281665,0.013733388067071,0.008426566689478
83,7301922175,1,0.999612687470865,-0.022319273284477,0.014253449242748,0.008553611635540
84,7401922675,1,0.999615607915053,-0.021827734180301,0.014726256920430,0.008678927945650
85,7481923075,1,0.999617738212866,-0.021389990432399,0.015151001588250,0.008791638662327
86,7561923475,1,0.999619245733065,-0.021001087981142,0.015526199044642,0.008902528118054
87,7641923875,1,0.999620457697402,-0.020659579104952,0.015840012139248,0.009012011954701
88,7721924275,1,0.999621188656052,-0.020375498904226,0.016098054641129,0.009119806524063
89,7801924675,1,0.999621621710183,-0.020141667044695,0.016303740718112,0.009225762665537
90,7881925075,1,0.999621711109508,-0.019963296205675,0.016457768416890,0.009329702130258
91,7991925625,1,0.999621624705589,-0.019835304111751,0.016559271459736,0.009431789887146
92,8071926975,1,0.999621378934247,-0.019759525186179,0.016607272824717,0.009531968911891
93,8151926425,1,0.999620981239009,-0.019734956119817,0.016603706214144,0.009630281079181
94,8231926825,1,0.999620368719691,-0.019761168976791,0.016554544969891,0.009724283121158
95,8311927225,1,0.999619656897894,-0.019845531656675,0.016446422067541,0.009808752100894
96,8391927600,1,0.999618744339081,-0.019978401462687,0.016290752416282,0.009891452202075
97,8471928025,1,0.999617823322757,-0.020152684509219,0.016081775494780,0.009972617483919
98,8551928425,1,0.999616602303080,-0.020373423598021,0.015828043938635,0.010052115997087
99,8651928925,1,0.999614944194095,-0.020641514016504,0.015533060972799,0.010129919040023
100,8731929325,1,0.999612926210285,-0.020951369243472,0.015194454796746,0.010206195352061
101,8811929725,1,0.999610437483960,-0.021302336266804,0.014815031357993,0.010280981887188
102,8891930125,1,0.999607230492365,-0.021707215858618,0.014386234465526,0.010354602114687
103,8971930525,1,0.999603377297076,-0.022149073423424,0.013920734906243,0.010426877885212
104,9051930925,1,0.999598800503403,-0.022629704789581,0.013417724636226,0.010492814631058
105,9231933100,1,0.999593462007691,-0.023144932010036,0.012876907574126,0.010555002845005
106,9341932375,1,0.999587205518231,-0.023683119040936,0.012315182092826,0.010623781189760
107,9421932775,1,0.999579991824232,-0.024249349778263,0.011726031880081,0.010691546022344
108,9501933175,1,0.999571868075054,-0.024800370447644,0.011164218145097,0.010788068029808
109,9581933575,1,0.999562777801880,-0.025374691232441,0.010579344173024,0.010883738085662
110,9661933975,1,0.999552553427502,-0.025975520591239,0.009971451033729,0.010978862912719
111,9741934375,1,0.999541112074762,-0.026602886962925,0.009339739272765,0.011073434331853
112,9821934775,1,0.999528515679860,-0.027248254054266,0.008693016624192,0.011167383569211
113,9921935275,1,0.999514682494868,-0.027919330440945,0.008020986089512,0.011250522079648
114,10001935650,1,0.999499656823878,-0.028602902558926,0.007339452936183,0.011333243346524
115,10081936075,1,0.999483553453258,-0.029287798701468,0.006673456799149,0.011415612030043
116,10161936475,1,0.999466414383494,-0.029977252239151,0.006004591286926,0.011497641108901
117,10241936875,1,0.999448200100546,-0.030675729668680,0.005311884418401,0.011579240432679
118,10321937550,1,0.999428731456789,-0.031383460330452,0.004615827731778,0.011661187362870
119,10401937975,1,0.999408287648425,-0.032090451551276,0.003921174843287,0.011743163403730
120,10481938375,1,0.999387360205498,-0.032783443241692,0.003239386539426,0.011817634515968
121,10581938875,1,0.999365679632549,-0.033470919650675,0.002563623143499,0.011889648720208
122,10661939275,1,0.999343284869118,-0.034151514190580,0.001891681076174,0.011962215856481
123,10741939675,1,0.999320234525934,-0.034823966573663,0.001227974278035,0.012035460036107
124,10821940075,1,0.999296839984700,-0.035480349829467,0.000579700896630,0.012109265850675
125,10901940475,1,0.999272645676800,-0.036138441724135,-0.000066023319039,0.012173260564106
126,10981940875,1,0.999248380834471,-0.036775353094223,-0.000691519884538,0.012237998395645
127,11061941275,1,0.999224035252852,-0.037393479428152,-0.001295821141704,0.012303492058494
128,11141941675,1,0.999199842312039,-0.037988678208444,-0.001876872231129,0.012369834364282
129,11251942225,1,0.999176017716166,-0.038557249102531,-0.002438700927702,0.012436916832364
130,11331942625,1,0.999152640891738,-0.039099678600392,-0.002973301718596,0.012504991375540
131,11411943025,1,0.999129890723515,-0.039613632711433,-0.003480549018973,0.012574074309748
132,11491943425,1,0.999107656197288,-0.040104118095113,-0.003956399281924,0.012645075899187
133,11571943825,1,0.999086347443898,-0.040563073860678,-0.004402329228599,0.012717188665241
